"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
142.5,15,1600,155.05,0.20368,2.6963,-26.369,2.2495,2.0503e-05,0.00011622,1.8483,0.0012986,0.0088457,2.9983,2.7276,-14.553,-596.39,256.67,11910,0.00075766,0.0010789,1.1234,10.563,4.8866e-13
142.5,15,1720,166.53,0.22438,3.1479,-30.563,2.7276,3.3356e-05,0.00015472,2.0505,0.0012314,0.007745,3.4717,3.1303,-14.052,-641.88,246.94,9767.6,0.0010447,0.0015235,1.2658,11.498,5.0529e-13
142.5,15,1960,197.13,0.24356,4.1115,-35.353,5.2177,0.00010165,0.00034762,3.5454,-0.0019783,-0.010266,4.4916,3.9496,-13.783,-690.83,711.22,19154,0.0018057,0.0027796,1.7812,13.475,4.7813e-13
142.5,15,2080,214.01,0.23835,4.6436,-40.492,6.5223,0.00016023,0.00044797,4.0139,0.0020474,0.0093837,5.045,4.3547,-13.704,-694.35,830.65,17446,0.0023137,0.0036936,2.2186,14.222,5.4051e-13
142.5,15,2200,221.46,0.25185,4.7565,-70.534,8.3978,0.0002587,0.00044681,3.3056,0.0035079,0.012645,5.1922,4.3572,-11.625,-738.77,3379.9,43909,0.0025308,0.0043771,3.2737,15.21,2.9838e-12
142.5,17,1000,124.79,0.19277,0.97147,1.2068,2.5247,2.8599e-06,7.5268e-05,4.5987,0.00040608,0.0039527,1.1049,0.9142,-16.56,-443.51,14.782,1400.4,6.1409e-05,8.0794e-05,0.4809,8.5719,1.1284e-12
142.5,17,1120,129.72,0.22789,1.2519,-2.3403,2.9247,5.4698e-06,0.00010999,4.6658,0.00036038,0.0031347,1.4354,1.2141,-17.412,-454.85,49.152,3717.5,0.00011182,0.0001502,0.60649,9.4174,9.3276e-13
142.5,17,1240,136.52,0.26203,1.5704,-8.7147,2.4113,7.1418e-06,9.5495e-05,3.1285,0.00082556,0.0066482,1.8171,1.5586,-15.882,-498.91,72.434,4697.1,0.00019434,0.00026539,0.68719,8.7765,7.5821e-13
142.5,17,1360,143.48,0.29799,1.8754,-13.303,2.5789,1.0885e-05,0.00011018,2.9217,0.00075854,0.0057395,2.1947,1.8944,-15.119,-544.31,66.483,3806.7,0.00030193,0.00041886,0.75574,8.9853,6.5951e-13
142.5,17,1480,155.07,0.33398,2.2182,-16.621,1.9568,1.1266e-05,9.0132e-05,2.0137,-0.00056455,-0.0038311,2.5927,2.2417,-15.798,-550.92,39.61,1824,0.00044721,0.0006359,0.99057,9.8476,5.9726e-13
